id,question,choiceA,choiceB,choiceC,choiceD,choiceE,correct
1,E-R図を使用してデータモデリングを行う理由として.適切なものはどれか。,顧客や製品といった業務の管理対象間の関係を図示し.その業務上の意味を明らかにする。,業務上でのデータのやり取りを把握し.ワークフローを明らかにする。,現行業務でのデータの流れを把握し.業務遂行上の問題点を明らかにする。,データ項目を詳細に検討し.データベースの実装方法を明らかにする。,,
2,国際標準化機関に関する記述のうち.適切なものはどれか。,ITUは.電気通信分野の国際標準化機関である。,ICANNは.工業や科学技術分野の国際標準化機関である。,IECは.電子商取引分野の国際標準化機関である。,IEEEは.会計分野の国際標準化機関である。,,
3,人間の脳神経の仕組みをモデルにして.コンピュータプログラムで模したものを表す用語はどれか。,ニューラルネットワーク,ソーシャルネットワーク,デジタルトランスフォーメーション,ブレーンストーミング,,
4,エンタープライズサーチの説明として.最も適切なものはどれか。,企業内の様々なシステムに蓄積されている定型又は非定型なデータを.一元的に検索するための仕組み,自然言語処理を実現するための基礎データとなる.電子化された大量の例文データベース,写真や書類などを光学的に読み取り.ディジタルデータ化するための画像入力装置,情報システムや業務プロセスの現状を把握し.あるべき企業の姿とのギャップを埋めるための目標を設定し.全体最適化を図ること,,
5,クラウドコンピューティングの説明として.最も適切なものはどれか。,ソフトウェアやハードウェアなどの各種リソースを.インターネットなどのネットワークを経由して.オンデマンドでスケーラブルに利用すること,システム全体を管理する大型汎用機などのコンピュータに.データを一極集中させて処理すること,情報システム部門以外の人が自らコンピュータを操作し.自分や自部門の業務に役立てること,ネットワークを介して.複数台のコンピュータに処理を分散させ.処理結果を共有すること,,
6,インターネットに接続できる機能が搭載されており.車載センサで計測した情報をサーバへ送信し.そのサーバから運転に関する情報のフィードバックを受けて運転の支援などに活用することができる自動車を表す用語として.最も適切なものはどれか。,コネクテッドカー,カーシェアリング,カーナビゲーションシステム,電気自動車,,
7,"著作権法によって保護の対象と成り得るものだけを.全て挙げたものはどれか。 

a.インターネットに公開されたフリーソフトウェア 
b.データベースの操作マニュアル 
c.プログラム言語 
d.プログラムのアルゴリズム",a.b,a.d,b.c,c.d,,
8,画期的な製品やサービスが消費者に浸透するに当たり.イノベーションへの関心や活用の時期によって消費者をアーリーアダプタ.アーリーマジョリティ.イノベータ.ラガード.レイトマジョリティの五つのグループに分類することができる。このうち.活用の時期が2番目に早いグループとして位置付けられ.イノベーションの価値を自ら評価し.残る大半の消費者に影響を与えるグループはどれか。,アーリーアダプタ,アーリーマジョリティ,イノベータ,ラガード,,
9,"不適切な行為a～cのうち.不正競争防止法で規制されているものだけを全て挙げたものはどれか。 

a.キャンペーンの応募者の個人情報を.応募者に無断で他の目的のために利用する行為 
b.他人のIDとパスワードを不正に入手し.それらを使用してインターネット経由でコンピュータにアクセスする行為 
c.不正な利益を得ようとして.他社の商品名や社名に類似したドメイン名を使用する行為",c,a,a． c,b,,
10,技術ロードマップの説明として.適切なものはどれか。,対象とする分野において.実現が期待されている技術を時間軸とともに示したもの,カーナビゲーションシステムなどに用いられている最短経路の探索機能の実現に必要な技術を示したもの,業務システムの開発工程で用いるソフトウェア技術の一覧を示したもの,情報システム部門の人材が習得すべき技術をキャリアとともに示したもの,,
11,RPA(Robotic Process Automation)の特徴として.最も適切なものはどれか。,受注データの入力や更新など.PCで実施する定型的な作業に適している。,新しく設計した部品を少ロットで試作するなど.工場での非定型的な作業に適している。,同じ設計の部品を大量に製造するなど.工場での定型的な作業に適している。,システムエラー発生時に.状況に応じて実行する処理を選択するなど.PCで実施する非定型的な作業に適している。,,
12,"労働者派遣に関する記述a～cのうち.適切なものだけを全て挙げたものはどれか。

a.派遣契約の種類によらず派遣労働者の選任は派遣先が行う。
b.派遣労働者であった者を.派遣元との雇用期間が終了後.派遣先が雇用してもよい。
c.派遣労働者の給与を派遣先が支払う。",b,a,a． b,b． c,,
13,FinTechの事例として.最も適切なものはどれか。,証券会社において.顧客がPCの画面上で株式売買を行うときに.顧客に合った投資信託を提案したり自動で資産運用を行ったりする.ロボアドバイザのサービスを提供する。,銀行において.災害や大規模障害が発生した場合に勘定系システムが停止することがないように.障害発生時には即時にバックアップシステムに切り替える。,クレジットカード会社において.消費者がクレジットカードの暗証番号を規定回数連続で間違えて入力した場合に.クレジットカードを利用できなくなるようにする。,,,
14,ソフトウェアライフサイクルを.企画プロセス.要件定義プロセス.開発プロセス.運用プロセスに分けるとき.システム化計画を踏まえて.利用者及び他の利害関係者が必要とするシステムの機能を明確にし.合意を形成するプロセスはどれか。,要件定義プロセス,企画プロセス,開発プロセス,運用プロセス,,
15,A社の情報システム部門は.B社のソフトウェアパッケージを活用して.営業部門が利用する営業支援システムを構築することにした。構築に合わせて.EUC(End User Computing)を推進するとき.業務データの抽出や加工.統計資料の作成などの運用を行う組織として.最も適切なものはどれか。,A社の営業部門,A社の情報システム部門,B社のソフトウェアパッケージ開発部門,B社のソフトウェアパッケージ導入担当部門,,
16,マーチャンダイジングの説明として.適切なものはどれか。,店舗などにおいて.商品やサービスを購入者のニーズに合致するような形態で提供するために行う一連の活動のこと,消費者のニーズや欲求.購買動機などの基準によって全体市場を幾つかの小さな市場に区分し.標的とする市場を絞り込むこと,製品の出庫から販売に至るまでの物の流れを統合的に捉え.物流チャネル全体を効果的に管理すること,配送コストの削減と.消費者への接触頻度増加によるエリア密着性向上を狙って.同一エリア内に密度の高い店舗展開を行うこと,,
17,"プロバイダが提供したサービスにおいて発生した事例a～cのうち.プロバイダ責任制限法によって.プロバイダの対応責任の対象となり得るものだけを全て挙げたものはどれか。

a.氏名などの個人情報が電子掲示板に掲載されて.個人の権利が侵害された。
b.受信した電子メールの添付ファイルによってマルウェアに感染させられた。
c.無断で利用者IDとパスワードを使われて.ショッピングサイトにアクセスされた。",a,a． b． c,a． c,c,,
18,"戦略目標の達成状況を評価する指標には.目標達成のための手段を評価する先行指標と目標達成度を評価する結果指標の二つがある。戦略目標が""新規顧客の開拓""であるとき.先行指標として適切なものはどれか。",見込み客訪問件数,売上高増加額,新規契約獲得率,総顧客増加率,,
19,ビッグデータの分析に関する記述として.最も適切なものはどれか。,大量のデータから未知の状況を予測するためには.統計学的な分析手法に加え.機械学習を用いた分析も有効である。,テキストデータ以外の.動画や画像.音声データは.分析の対象として扱うことができない。,電子掲示板のコメントやSNSのメッセージ.Webサイトの検索履歴など.人間の発信する情報だけが.人間の行動を分析することに用いられる。,ブログの書き込みのような.分析されることを前提としていないデータについては.分析の目的にかかわらず.対象から除外する。,,
20,画像認識システムにおける機械学習の事例として.適切なものはどれか。,果物の写真をコンピュータに大量に入力することで.コンピュータ自身が果物の特徴を自動的に抽出することができるようになった。,オフィスのドアの解錠に虹彩の画像による認証の仕組みを導入することによって.セキュリティが強化できるようになった。,スマートフォンが他人に利用されるのを防止するために.指紋の画像認識でロック解除できるようになった。,ヘルプデスクの画面に.システムの使い方についての問合せを文字で入力すると.会話形式で応答を得ることができるようになった。,,
21,ABC分析の事例として.適切なものはどれか。,自社の商品を.売上高の高い順に三つのグループに分類して分析する。,顧客の消費行動を.時代.年齢.世代の三つの観点から分析する。,マーケティング環境を.顧客.競合.自社の三つの観点から分析する。,リピート顧客を.最新購買日.購買頻度.購買金額の三つの観点から分析する。,,
22,業務パッケージを活用したシステム化を検討している。情報システムのライフサイクルを.システム化計画プロセス.要件定義プロセス.開発プロセス.保守プロセスに分けたとき.システム化計画プロセスで実施する作業として.最も適切なものはどれか。,機能.性能.価格などの観点から業務パッケージを評価する。,業務パッケージの標準機能だけでは実現できないので.追加開発が必要なシステム機能の範囲を決定する。,システム運用において発生した障害に関する分析.対応を行う。,システム機能を実現するために必要なパラメタを業務パッケージに設定する。,,
23,プロダクトポートフォリオマネジメントは.企業の経営資源を最適配分するために使用する手法であり.製品やサービスの市場成長率と市場におけるシェアから.その戦略的な位置付けを四つの領域に分類する。市場シェアは低いが急成長市場にあり.将来の成長のために多くの資金投入が必要となる領域はどれか。,問題児,金のなる木,花形,負け犬,,
24,テレワークに関する記述として.最も適切なものはどれか。,ITを活用した.場所や時間にとらわれない柔軟な働き方のこと,ある業務に対して従来割り当てていた人数を増員し.業務を細分化して配分すること,個人が所有するPCやスマートデバイスなどの機器を.会社が許可を与えた上でオフィスでの業務に利用させること,仕事の時間と私生活の時間の調和に取り組むこと,,
25,暗号資産に関する記述として.最も適切なものはどれか。,暗号資産の利用者は.暗号資産交換業者から契約の内容などの説明を受け.取引内容やリスク.手数料などについて把握しておくとよい。,暗号資産交換業の登録業者であっても.利用者の情報管理が不適切なケースがあるので.登録が無くても信頼できる業者を選ぶ。,暗号資産の価格変動には制限が設けられているので.価値が急落したり.突然無価値になるリスクは考えなくてよい。,金融庁や財務局などの官公署は.安全性が優れた暗号資産の情報提供を行っているので.官公署の職員から勧められた暗号資産を主に取引する。,,
26,企業の人事機能の向上や.働き方改革を実現することなどを目的として.人事評価や人材採用などの人事関連業務に.AlやIoTといったITを活用する手法を表す用語として.最も適切なものはどれか。,HRTech,e-ラーニング,FinTech,コンピテンシ,,
27,BYODの事例として.適切なものはどれか。,私物のスマートフォンから会社のサーバにアクセスして.電子メールやスケジューラを利用することができるようにした。,大手通信事業者から回線の卸売を受け.自社ブランドの通信サービスを開始した。,ゴーグルを通してあたかも現実のような映像を見せることで.ゲーム世界の臨場感を高めた。,図書館の本にICタグを付け.簡単に蔵書の管理ができるようにした。,,
28,"次の当期末損益計算資料から求められる経常利益は何百万円か。
（単位：百万円） 
売上　　　　　　　　　　　3．000 
売上原価　　　　　　　　　1．500 
販売費および一般管理費　　　500 
営業外費用　　　　　　　　　 15 
特別損失　　　　　　　　　　300 
法人税　　　　　　　　　　　300",985,385,685,1,,
29,粗利益を求める計算式はどれか。,(売上高)－(売上原価),(営業利益)＋(営業外収益)－(営業外費用),(経常利益)＋(特別利益)－(特別損失),(税引前当期純利益)－(法人税.住民税及び事業税),,
30,"情報の取扱いに関する不適切な行為a～cのうち.不正アクセス禁止法で定められている禁止行為に該当するものだけを全て挙げたものはどれか。

a.オフィス内で拾った手帳に記載されていた他人の利用者IDとパスワードを無断で使って.自社のサーバにネットワークを介してログインし.格納されていた人事評価情報を閲覧した。
b.同僚が席を離れたときに.同僚のPCの画面に表示されていた.自分にはアクセスする権限のない人事評価情報を閲覧した。
c.部門の保管庫に保管されていた人事評価情報が入ったUSBメモリを上司に無断で持ち出し.自分のPCで人事評価情報を閲覧した。",a,a.b,a.b.c,a.c,,
31,APIエコノミーに関する記述として.最も適切なものはどれか。,インターネットを通じて.様々な事業者が提供するサービスを連携させて.より付加価値の高いサービスを提供する仕組み,著作権者がインターネットなどを通じて.ソフトウェアのソースコードを無料公開する仕組み,定型的な事務作業などを.ソフトウェアロボットを活用して効率化する仕組み,複数のシステムで取引履歴を分散管理する仕組み,,
32,"a～cのうち.サイバーセキュリティ基本法に規定されているものだけを全て挙げたものはどれか。

a.サイバーセキュリティに関して.国や地方公共団体が果たすべき責務
b.サイバーセキュリティに関して.国民が努力すべきこと
c.サイバーセキュリティに関する施策の推進についての基本理念",a.b.c,a.b,a.c,b.c,,
