問題番号,問題,正解答,誤回答1,誤回答2,誤回答3
問1,"新しいビジネスモデルや製品を開発する際に、仮説に基づいて実用に向けた最小限のサービスや製品を作り、短期に顧客価値の検証を繰り返すことによって、新規事業などを成功させる可能性を高める手法を示す用語はどれか。","リーンスタートアップ","カニバリゼーション","業務モデリング","デジタルトランスフォーメーション"
問2,"次のa〜cのうち、著作権法によって定められた著作物に該当するものだけを全て挙げたものはどれか。(a 原稿なしで話した講演の録音, b 時刻表に掲載されたバスの到着時刻, c 創造性の高い技術の発明)","a","a, c","b, c","c"
問3,"観光などで訪日した外国人が国内にもたらす経済効果を示す言葉として、最も適切なものはどれか。","インバウンド需要","アウトソーシング","アウトバウンド需要","インキュベーター"
問4,"ASP利用方式と自社開発の自社センター利用方式（以下”自社方式”という）の採算性を比較する。次の条件のとき、ASP利用方式の期待利益(効果額-費用)が自社方式よりも大きくなるのは、自社方式の初期投資額が何万円を超えたときか。ここで、比較期間は5年とする。[条件]・両方式とも、システム利用による効果額は500万円/年とする。・ASP利用方式の場合、初期費用は0円、利用料は300万円/年とする。・自社方式の場合、初期投資額は定額法で減価償却計算を行い、5年後の残存簿価は0円とする。また、運用費は100万円/年とする。・金利やその他の費用は考慮しないものとする。","1,000","500","1,500","2,000"
問5,"企業でのRPAの活用方法として、最も適切なものはどれか。","定型的な事務処理の効率化","M&Aといった経営層が行う重要な戦略の採択","個人の嗜好に合わせたサービスの提供","潜在顧客層に関する大量の行動データからの規則性抽出"
問6,"A社では、顧客の行動や天候、販売店のロケーションなどの多くの項目から成るデータを取得している。これらのデータを分析することによって販売数量の変化を説明することを考える。その際、説明に使用するパラメータをできるだけ少数に絞りたい。このときに用いる分析法として、最も適切なものはどれか。","主成分分析","ABC分析","クラスター分析","相関分析"
問7,"経営戦略に基づいて策定される情報システム戦略の責任者として、最も適切なものはどれか。","CIO","基幹システムの利用部門の部門長","システム開発プロジェクトマネージャ","システム企画担当者"
問8,"A社の営業部門では、成約件数を増やすことを目的として、営業担当者が企画を顧客に提案する活動を始めた。この営業活動の達成度を測るための指標としてKGI（Key Goal Indicator）とKPI（Key Performance Indicator）を定めたい。本活動におけるKGIとKPIの組合せとして、最も適切なものはどれか。","【KGI】成約件数 【KPI】提案件数","【KGI】成約件数 【KPI】売上高","【KGI】提案件数 【KPI】売上高","【KGI】提案件数 【KPI】成約件数"
問9,"ソーシャルメディアポリシーを制定する目的として、適切なものだけを全て挙げたものはどれか。(a 企業がソーシャルメディアを使用する際の心得やルールなどを取り決めて、社外の人々が理解できるようにするため, b 企業に属する役員や従業員が、公私限らずにソーシャルメディアを使用する際のルールを示すため, c ソーシャルメディアが企業に対して取材や問合せを行う際の条件や窓口での取扱いのルールを示すため)","a, b","a","a, c","b, c"
問10,"フォーラム標準に関する記述として、最も適切なものはどれか。","特定の分野に関心のある複数の企業などが集まって結成した組織が、規格として作ったもの","工業製品が、定められた品質、寸法、機能及び形状の範囲内であることを保証したもの","公的な標準化機関において、透明かつ公正な手続の下、関係者が合意の上で制定したもの","特定の企業が開発した仕様が広く利用された結果、事実上の業界標準になったもの"
問題番号,問題,正解答,誤回答1,誤回答2,誤回答3
